id,name,type_1,type_2,offensive_score,defensive_score,power_score_final,role_kmeans
10190,eternatus-eternamax,poison,dragon,0.6699999999999999,1.0,0.802,Powerhouse Tank
10189,zamazenta-crowned,fighting,steel,0.5957894736842106,0.5378527650457474,0.5726147902288253,Powerhouse Tank
10188,zacian-crowned,fairy,steel,0.5957894736842106,0.5324771330034488,0.570464537411906,Powerhouse Tank
10053,aggron-mega,steel,,0.5636842105263159,0.5267984261064184,0.5489298967583569,Powerhouse Tank
10072,steelix-mega,steel,ground,0.7973684210526317,0.5224583062594759,0.6874043751353693,Glass Cannon
10245,dialga-origin,steel,dragon,0.5494736842105262,0.5221234379561356,0.53853358570877,Powerhouse Tank
10120,zygarde-complete,dragon,ground,0.5983157894736842,0.5095405693113793,0.5628057014087622,Powerhouse Tank
10301,zygarde-mega,dragon,ground,0.320421052631579,0.5077560449587325,0.3953550495624404,Powerhouse Tank
379,registeel,steel,,0.7478947368421054,0.505745794527471,0.6510351599162516,Glass Cannon
10077,kyogre-primal,water,,0.6278947368421053,0.504127138834741,0.5783876976391595,Powerhouse Tank
