id,name,height,weight,base_experience,total_base_stats,attack,defense,hp,special-attack,special-defense,speed,type_1,type_2,offensive_effectiveness,defensive_multiplier_mean,n_moves,max_move_power,mean_move_power,max_power_physical,max_power_special,defensive_multiplier_mean_clipped,defensive_raw,offensive_raw,total_base_stats_norm,max_move_power_norm,offensive_effectiveness_norm,defensive_survivability_norm
1,bulbasaur,7,69,64.0,318,49,49,45,65,65,45,grass,poison,0.9642857142857142,1.0595238095238095,44.0,130.0,67.95454545454545,130.0,130.0,1.0595238095238095,150.06741573033707,431.99999999999994,0.15052631578947367,0.52,0.24999999999999964,0.1312710963147917
2,ivysaur,10,130,142.0,405,62,63,60,80,80,60,grass,poison,0.9642857142857142,1.0595238095238095,41.0,130.0,66.21951219512195,120.0,130.0,1.0595238095238095,191.59550561797752,515.8928571428571,0.24210526315789474,0.52,0.24999999999999964,0.191797290424007
3,venusaur,20,1000,236.0,525,82,83,80,100,100,80,grass,poison,0.9642857142857142,1.0595238095238095,52.0,150.0,73.07692307692308,150.0,150.0,1.0595238095238095,248.22471910112358,650.8928571428571,0.3684210526315789,0.6,0.24999999999999964,0.2743330096638461
4,charmander,6,85,62.0,309,52,43,39,60,50,65,fire,,1.0952380952380953,1.0,68.0,150.0,72.3970588235294,150.0,130.0,1.0,132.0,502.7142857142858,0.14105263157894737,0.6,0.8000000000000006,0.10493827160493827
5,charmeleon,11,190,142.0,405,64,58,58,80,65,80,fire,,1.0952380952380953,1.0,66.0,150.0,72.77272727272727,150.0,130.0,1.0,181.0,607.8571428571429,0.24210526315789474,0.6,0.8000000000000006,0.1763545953360768
6,charizard,17,905,240.0,534,84,78,78,109,85,100,fire,flying,1.0833333333333335,1.0238095238095237,88.0,150.0,74.01136363636364,150.0,150.0,1.0238095238095237,235.39534883720933,741.0000000000001,0.3778947368421053,0.6,0.7500000000000008,0.2556345104794718
7,squirtle,5,90,63.0,314,48,65,44,50,64,43,water,,1.0714285714285714,1.0,64.0,150.0,73.515625,150.0,150.0,1.0,173.0,497.1428571428571,0.1463157894736842,0.6,0.7000000000000001,0.16469478737997256
8,wartortle,10,225,142.0,405,63,80,59,65,80,58,water,,1.0714285714285714,1.0,63.0,150.0,73.88888888888889,150.0,150.0,1.0,219.0,594.6428571428571,0.24210526315789474,0.6,0.7000000000000001,0.231738683127572
9,blastoise,16,855,239.0,530,83,100,79,85,105,78,water,,1.0714285714285714,1.0,79.0,150.0,77.0886075949367,150.0,150.0,1.0,284.0,728.5714285714286,0.3736842105263158,0.6,0.7000000000000001,0.32647462277091904
10,caterpie,3,29,39.0,195,30,35,45,20,20,45,bug,,0.9761904761904762,1.0714285714285714,4.0,60.0,51.25,60.0,55.0,1.0714285714285714,93.33333333333334,248.92857142857142,0.021052631578947368,0.24,0.29999999999999993,0.0485825331504344
11,metapod,7,99,72.0,205,20,55,50,25,25,30,bug,,0.9761904761904762,1.0714285714285714,2.0,60.0,57.5,60.0,55.0,1.0714285714285714,121.33333333333334,258.6904761904762,0.031578947368421054,0.24,0.29999999999999993,0.08939186099679929
12,butterfree,11,320,178.0,395,45,50,60,90,80,70,bug,flying,1.0238095238095237,1.1904761904761905,44.0,150.0,70.11363636363636,150.0,150.0,1.1904761904761905,159.6,557.9761904761905,0.23157894736842105,0.6,0.4999999999999998,0.14516460905349793
13,weedle,3,32,39.0,195,35,30,40,20,20,50,bug,poison,0.9642857142857142,1.0476190476190477,3.0,60.0,43.333333333333336,60.0,55.0,1.0476190476190477,85.9090909090909,245.8928571428571,0.021052631578947368,0.24,0.24999999999999964,0.03776187803965581
14,kakuna,6,100,72.0,205,25,50,45,25,25,35,bug,poison,0.9642857142857142,1.0476190476190477,2.0,60.0,57.5,60.0,55.0,1.0476190476190477,114.54545454545455,255.53571428571425,0.031578947368421054,0.24,0.24999999999999964,0.07949869060980172
15,beedrill,10,295,178.0,395,90,40,65,45,80,75,bug,poison,0.9642857142857142,1.0476190476190477,50.0,150.0,64.5,150.0,150.0,1.0476190476190477,176.5909090909091,525.5357142857142,0.23157894736842105,0.6,0.24999999999999964,0.16992845117845118
16,pidgey,3,18,50.0,251,45,40,40,35,35,56,normal,flying,0.9880952380952381,1.0,33.0,140.0,68.18181818181819,140.0,110.0,1.0,115.0,386.34523809523813,0.08,0.56,0.35000000000000026,0.08016117969821673
17,pidgeotto,11,300,122.0,349,60,55,63,50,50,71,normal,flying,0.9880952380952381,1.0,30.0,140.0,67.66666666666667,140.0,110.0,1.0,168.0,483.17857142857144,0.1831578947368421,0.56,0.35000000000000026,0.1574074074074074
18,pidgeot,15,395,216.0,479,80,75,83,70,70,101,normal,flying,0.9880952380952381,1.0,32.0,150.0,72.8125,150.0,150.0,1.0,228.0,621.5119047619048,0.32,0.6,0.35000000000000026,0.2448559670781893
